name,position,stars,metrics,composite,recruiting_class
Kahlil McKenzie, DT ,5, 6-3 / 339 ,0.9972,2015
Kyle Phillips, SDE ,5, 6-3.5 / 250 ,0.9843,2015
Alvin Kamara, RB ,4, 5-10.5 / 210 ,0.9776,2015
Preston Williams, WR ,4, 6-4 / 191 ,0.9769,2015
Shy Tuttle, DT ,4, 6-3 / 320 ,0.9745,2015
Drew Richmond, OT ,4, 6-5 / 310 ,0.9742,2015
Jack Jones, OT ,4, 6-5 / 290 ,0.9421,2015
Darrin Kirkland Jr., ILB ,4, 6-1 / 223 ,0.9306,2015
Jauan Jennings, DUAL ,4, 6-4 / 188 ,0.9289,2015
"Quart'e Sapp", OLB ,4, 6-1.5 / 200 ,0.9110,2015
Micah Abernathy, CB ,4, 6-1 / 187 ,0.9095,2015
Sheriron Jones, DUAL ,4, 6-2.5 / 191 ,0.9075,2015
Justin Martin, CB ,4, 6-2 / 183 ,0.9069,2015
Andrew Butcher, SDE ,4, 6-2 / 242 ,0.9037,2015
Quinten Dormady, PRO ,4, 6-4 / 200 ,0.9029,2015
Darrell Taylor, WDE ,4, 6-4 / 230 ,0.9004,2015
Venzell Boulware, OT ,3, 6-4 / 290 ,0.8872,2015
Quay Picou, DT ,3, 6-2 / 275 ,0.8706,2015
John Kelly, ATH ,3, 5-10 / 208 ,0.8665,2015
Austin Smith, OLB ,3, 6-3.5 / 235 ,0.8630,2015
Kyle Oliver, TE ,3, 6-5 / 230 ,0.8605,2015
Chance Hall, OT ,3, 6-5 / 305 ,0.8585,2015
Stephen Griffin, S ,3, 6-3 / 190 ,0.8564,2015
Darrell Miller, CB ,3, 5-10 / 171 ,0.8559,2015
Vincent Perry, APB ,3, 6-0 / 177 ,0.8538,2015
Jocquez Bruce, ATH ,3, 5-10 / 170 ,0.8463,2015
Tommy Townsend, P ,3, 6-1 / 168 ,0.8095,2015
Joe Young, RB ,2, 6-0 / 192 ,0.7924,2015
Riley Lovingood, LS ,2, 6-1 / 240 ,0.7575,2015
,,N/A,,,2015
Zach Stewart, OT ,3, 6-4 / 315 ,0.8649,2015